vin,Time,Lon,Lat,Speed,Mileage,SOC
LVCB4L4D3HM002839,5/20/2020 5:47,116.35918,39.839789,0,78988.5,99
LVCB4L4D3HM002839,5/20/2020 5:47,116.35918,39.839789,0,78988.5,99
LVCB4L4D3HM002839,5/20/2020 5:47,116.35918,39.839789,0,78988.5,99
LVCB4L4D3HM002839,5/20/2020 5:48,116.35918,39.839789,0,78988.5,99
LVCB4L4D3HM002839,5/20/2020 5:48,116.35918,39.839789,0,78988.5,99
LVCB4L4D3HM002839,5/20/2020 5:48,116.35918,39.839789,0,78988.5,99
LVCB4L4D3HM002839,5/20/2020 5:48,116.35918,39.839789,0,78988.5,99
LVCB4L4D3HM002839,5/20/2020 5:49,116.35918,39.839789,15.7,78988.5,99
LVCB4L4D3HM002839,5/20/2020 5:49,116.35918,39.839789,4.1,78988.5,99
LVCB4L4D3HM002839,5/20/2020 5:49,116.35918,39.839789,26.8,78988.6,99
LVCB4L4D3HM002839,5/20/2020 5:49,116.35918,39.839789,29.2,78988.7,99
LVCB4L4D3HM002839,5/20/2020 5:50,116.35918,39.839789,38.1,78988.8,98
LVCB4L4D3HM002839,5/20/2020 5:51,116.35918,39.839789,21.2,78989.5,98
LVCB4L4D3HM002839,5/20/2020 5:51,116.364588,39.844513,0,78989.5,98
LVCB4L4D3HM002839,5/20/2020 5:52,116.364588,39.844513,0,78989.5,98
LVCB4L4D3HM002839,5/20/2020 5:52,116.364588,39.844513,0,78989.5,98
LVCB4L4D3HM002839,5/20/2020 5:52,116.364995,39.844683,18.5,78989.6,98
LVCB4L4D3HM002839,5/20/2020 5:52,116.365108,39.845693,34.3,78989.7,98
LVCB4L4D3HM002839,5/20/2020 5:53,116.365076,39.846313,34.4,78989.8,98
LVCB4L4D3HM002839,5/20/2020 5:53,116.365175,39.847956,56.4,78990,97
LVCB4L4D3HM002839,5/20/2020 5:53,116.365321,39.849286,13.7,78990.1,97
LVCB4L4D3HM002839,5/20/2020 5:53,116.366086,39.849309,27,78990.2,97
LVCB4L4D3HM002839,5/20/2020 5:54,116.367902,39.849258,49.3,78990.3,97
LVCB4L4D3HM002839,5/20/2020 5:54,116.369921,39.849244,21.2,78990.5,97
LVCB4L4D3HM002839,5/20/2020 5:54,116.370292,39.849234,22.4,78990.6,97
LVCB4L4D3HM002839,5/20/2020 5:54,116.371977,39.849201,42.2,78990.7,96
LVCB4L4D3HM002839,5/20/2020 5:55,116.372781,39.849198,10.9,78990.8,97
LVCB4L4D3HM002839,5/20/2020 5:55,116.373829,39.849193,0,78991,96
LVCB4L4D3HM002839,5/20/2020 5:55,116.373974,39.849163,20.2,78991,96
LVCB4L4D3HM002839,5/20/2020 5:55,116.375461,39.848901,48.1,78991,96
LVCB4L4D3HM002839,5/20/2020 5:56,116.377576,39.848493,53.5,78991.2,96
LVCB4L4D3HM002839,5/20/2020 5:56,116.379717,39.848023,38.2,78991.5,96
LVCB4L4D3HM002839,5/20/2020 5:56,116.380281,39.847938,13.6,78991.5,96
LVCB4L4D3HM002839,5/20/2020 5:56,116.380759,39.848146,29.9,78991.5,96
LVCB4L4D3HM002839,5/20/2020 5:57,116.380876,39.849274,2.1,78991.7,96
LVCB4L4D3HM002839,5/20/2020 5:57,116.380944,39.850025,44.6,78991.8,96
LVCB4L4D3HM002839,5/20/2020 5:57,116.380859,39.850988,0,78992,96
LVCB4L4D3HM002839,5/20/2020 5:57,116.380796,39.850988,0,78992,96
LVCB4L4D3HM002839,5/20/2020 5:58,116.380712,39.851878,47,78992,95
LVCB4L4D3HM002839,5/20/2020 5:58,116.380669,39.853625,50.9,78992.2,95
LVCB4L4D3HM002839,5/20/2020 5:58,116.380714,39.855123,13.9,78992.5,95
LVCB4L4D3HM002839,5/20/2020 5:58,116.380726,39.855226,0,78992.5,95
LVCB4L4D3HM002839,5/20/2020 5:59,116.380726,39.855226,14,78992.5,95
LVCB4L4D3HM002839,5/20/2020 5:59,116.381349,39.855503,27.6,78992.5,95
LVCB4L4D3HM002839,5/20/2020 5:59,116.381662,39.855483,13.6,78992.5,95
LVCB4L4D3HM002839,5/20/2020 5:59,116.383309,39.855521,51.7,78992.6,94
LVCB4L4D3HM002839,5/20/2020 6:00,116.385714,39.85556,54,78992.8,94
LVCB4L4D3HM002839,5/20/2020 6:00,116.386913,39.855541,0,78993,94
LVCB4L4D3HM002839,5/20/2020 6:00,116.388004,39.855568,48.3,78993.1,94
LVCB4L4D3HM002839,5/20/2020 6:00,116.390439,39.855618,62.9,78993.3,94
LVCB4L4D3HM002839,5/20/2020 6:01,116.393358,39.855615,67.5,78993.6,94
LVCB4L4D3HM002839,5/20/2020 6:01,116.396553,39.85565,58.8,78993.8,93
LVCB4L4D3HM002839,5/20/2020 6:01,116.398683,39.855586,12.3,78994,94
LVCB4L4D3HM002839,5/20/2020 6:01,116.398961,39.855556,0,78994,94
LVCB4L4D3HM002839,5/20/2020 6:02,116.400061,39.85558,48.5,78994.1,93
LVCB4L4D3HM002839,5/20/2020 6:02,116.402628,39.85561,56.2,78994.5,93
LVCB4L4D3HM002839,5/20/2020 6:02,116.405211,39.855615,61.7,78994.6,92
LVCB4L4D3HM002839,5/20/2020 6:02,116.408026,39.855638,61.1,78995,92
LVCB4L4D3HM002839,5/20/2020 6:03,116.410358,39.85562,12.3,78995.1,92
LVCB4L4D3HM002839,5/20/2020 6:03,116.41045,39.855613,0,78995.1,92
LVCB4L4D3HM002839,5/20/2020 6:03,116.410565,39.855611,0,78995.1,92
LVCB4L4D3HM002839,5/20/2020 6:03,116.411085,39.855653,38.6,78995.1,92
LVCB4L4D3HM002839,5/20/2020 6:04,116.413195,39.855585,51.5,78995.3,92
LVCB4L4D3HM002839,5/20/2020 6:04,116.415043,39.855678,15.9,78995.5,92
LVCB4L4D3HM002839,5/20/2020 6:04,116.415188,39.855701,0,78995.5,92
LVCB4L4D3HM002839,5/20/2020 6:04,116.415188,39.855701,0,78995.5,92
LVCB4L4D3HM002839,5/20/2020 6:05,116.415188,39.855701,0,78995.5,92
LVCB4L4D3HM002839,5/20/2020 6:05,116.415188,39.855701,0,78995.5,92
LVCB4L4D3HM002839,5/20/2020 6:05,116.415188,39.855701,0,78995.5,92
LVCB4L4D3HM002839,5/20/2020 6:05,116.415925,39.855856,38.8,78995.6,92
LVCB4L4D3HM002839,5/20/2020 6:06,116.417464,39.85621,32,78995.7,92
LVCB4L4D3HM002839,5/20/2020 6:06,116.419486,39.856585,51.3,78996,91
LVCB4L4D3HM002839,5/20/2020 6:06,116.420952,39.856716,1.1,78996,92
LVCB4L4D3HM002839,5/20/2020 6:06,116.422347,39.856815,49.1,78996.2,91
LVCB4L4D3HM002839,5/20/2020 6:07,116.424694,39.856998,38.7,78996.5,91
LVCB4L4D3HM002839,5/20/2020 6:07,116.425379,39.857028,0,78996.5,91
LVCB4L4D3HM002839,5/20/2020 6:07,116.425562,39.85704,18.8,78996.5,91
LVCB4L4D3HM002839,5/20/2020 6:07,116.426044,39.857168,5.4,78996.5,91
LVCB4L4D3HM002839,5/20/2020 6:08,116.427019,39.857088,0,78996.5,91
LVCB4L4D3HM002839,5/20/2020 6:08,116.427019,39.857088,0,78996.5,91
LVCB4L4D3HM002839,5/20/2020 6:08,116.427459,39.857261,26.1,78996.6,91
LVCB4L4D3HM002839,5/20/2020 6:08,116.426739,39.85788,0.1,78996.6,91
LVCB4L4D3HM002839,5/20/2020 6:09,116.426476,39.858928,48.7,78996.7,90
LVCB4L4D3HM002839,5/20/2020 6:09,116.425772,39.86038,44.6,78997,90
LVCB4L4D3HM002839,5/20/2020 6:09,116.424682,39.861856,41.4,78997.1,90
LVCB4L4D3HM002839,5/20/2020 6:09,116.424469,39.863545,51.2,78997.3,90
LVCB4L4D3HM002839,5/20/2020 6:10,116.425254,39.864461,40.7,78997.5,90
LVCB4L4D3HM002839,5/20/2020 6:10,116.426864,39.864488,0,78997.6,90
LVCB4L4D3HM002839,5/20/2020 6:10,116.427884,39.864525,44.6,78997.7,90
LVCB4L4D3HM002839,5/20/2020 6:10,116.430159,39.864555,49.2,78998,90
LVCB4L4D3HM002839,5/20/2020 6:11,116.431984,39.864568,24.7,78998,90
LVCB4L4D3HM002839,5/20/2020 6:11,116.432241,39.864571,0,78998.1,90
LVCB4L4D3HM002839,5/20/2020 6:11,116.432241,39.864571,0,78998.1,90
LVCB4L4D3HM002839,5/20/2020 6:11,116.432241,39.864571,0,78998.1,90
LVCB4L4D3HM002839,5/20/2020 6:12,116.432241,39.864571,0,78998.1,90
LVCB4L4D3HM002839,5/20/2020 6:12,116.432241,39.864571,0,78998.1,90
LVCB4L4D3HM002839,5/20/2020 6:12,116.432241,39.864571,0,78998.1,90
LVCB4L4D3HM002839,5/20/2020 6:12,116.432686,39.864638,17.2,78998.1,90
LVCB4L4D3HM002839,5/20/2020 6:13,116.432836,39.865796,28.1,78998.2,90
LVCB4L4D3HM002839,5/20/2020 6:13,116.432861,39.866391,30.5,78998.3,89
LVCB4L4D3HM002839,5/20/2020 6:13,116.433001,39.867474,37,78998.5,89
LVCB4L4D3HM002839,5/20/2020 6:13,116.433247,39.868707,29.6,78998.6,89
LVCB4L4D3HM002839,5/20/2020 6:14,116.434911,39.868991,43.3,78998.7,89
LVCB4L4D3HM002839,5/20/2020 6:14,116.436588,39.869366,43.3,78999,89
LVCB4L4D3HM002839,5/20/2020 6:14,116.437893,39.870452,40.5,78999.1,89
LVCB4L4D3HM002839,5/20/2020 6:14,116.438309,39.871907,36.4,78999.3,89
LVCB4L4D3HM002839,5/20/2020 6:15,116.438678,39.873357,36.8,78999.5,88
LVCB4L4D3HM002839,5/20/2020 6:15,116.438836,39.873806,21.5,78999.5,88
LVCB4L4D3HM002839,5/20/2020 6:15,116.439316,39.874877,20,78999.6,88
LVCB4L4D3HM002839,5/20/2020 6:15,116.441006,39.874904,42.6,78999.8,88
LVCB4L4D3HM002839,5/20/2020 6:16,116.442586,39.874916,11,79000,88
LVCB4L4D3HM002839,5/20/2020 6:16,116.443484,39.874917,44,79000,88
LVCB4L4D3HM002839,5/20/2020 6:16,116.444668,39.874791,6.6,79000.1,88
LVCB4L4D3HM002839,5/20/2020 6:16,116.444716,39.873967,33.7,79000.2,88
LVCB4L4D3HM002839,5/20/2020 6:17,116.444733,39.873669,3,79000.2,88
LVCB4L4D3HM002839,5/20/2020 6:17,116.444723,39.872651,35.8,79000.3,88
LVCB4L4D3HM002839,5/20/2020 6:17,116.444731,39.871432,33.8,79000.5,88
LVCB4L4D3HM002839,5/20/2020 6:17,116.444694,39.870382,1.7,79000.6,88
LVCB4L4D3HM002839,5/20/2020 6:18,116.444678,39.870336,3.9,79000.6,88
LVCB4L4D3HM002839,5/20/2020 6:18,116.444678,39.870336,0,79000.6,88
LVCB4L4D3HM002839,5/20/2020 6:18,116.444678,39.870336,0,79000.6,88
LVCB4L4D3HM002839,5/20/2020 6:18,116.445018,39.870084,25.9,79000.7,88
LVCB4L4D3HM002839,5/20/2020 6:19,116.446634,39.870069,26.7,79000.8,88
LVCB4L4D3HM002839,5/20/2020 6:19,116.447086,39.870062,29.2,79001,87
LVCB4L4D3HM002839,5/20/2020 6:19,116.448653,39.870082,39.7,79001,87
LVCB4L4D3HM002839,5/20/2020 6:19,116.449596,39.870081,0,79001.1,87
LVCB4L4D3HM002839,5/20/2020 6:20,116.449601,39.870081,0,79001.1,87
LVCB4L4D3HM002839,5/20/2020 6:20,116.449873,39.870081,31.8,79001.1,87
LVCB4L4D3HM002839,5/20/2020 6:20,116.451373,39.870074,6.8,79001.2,87
LVCB4L4D3HM002839,5/20/2020 6:20,116.452705,39.870069,50.1,79001.5,86
LVCB4L4D3HM002839,5/20/2020 6:21,116.454355,39.870019,1.3,79001.5,87
LVCB4L4D3HM002839,5/20/2020 6:21,116.454368,39.870029,0,79001.5,87
LVCB4L4D3HM002839,5/20/2020 6:21,116.454368,39.870029,0,79001.5,87
LVCB4L4D3HM002839,5/20/2020 6:21,116.454368,39.870029,0,79001.5,87
LVCB4L4D3HM002839,5/20/2020 6:22,116.454368,39.870029,0,79001.5,87
LVCB4L4D3HM002839,5/20/2020 6:22,116.454368,39.870029,0,79001.5,87
LVCB4L4D3HM002839,5/20/2020 6:22,116.454533,39.870034,26.6,79001.5,87
LVCB4L4D3HM002839,5/20/2020 6:22,116.456345,39.869956,32.6,79001.7,86
LVCB4L4D3HM002839,5/20/2020 6:23,116.457871,39.869972,48.7,79001.8,86
LVCB4L4D3HM002839,5/20/2020 6:23,116.460138,39.869972,41.9,79002,86
LVCB4L4D3HM002839,5/20/2020 6:23,116.461608,39.869916,10.5,79002.2,86
LVCB4L4D3HM002839,5/20/2020 6:23,116.461588,39.869041,38.3,79002.3,86
LVCB4L4D3HM002839,5/20/2020 6:25,116.466275,39.86659,30.9,79003,86
LVCB4L4D3HM002839,5/20/2020 6:25,116.467454,39.866598,40.1,79003.1,86
LVCB4L4D3HM002839,5/20/2020 6:25,116.469481,39.866578,45.6,79003.3,85
LVCB4L4D3HM002839,5/20/2020 6:26,116.470809,39.866563,6.6,79003.5,86
LVCB4L4D3HM002839,5/20/2020 6:26,116.470864,39.866573,0,79003.5,86
LVCB4L4D3HM002839,5/20/2020 6:26,116.470864,39.866573,1.9,79003.5,86
LVCB4L4D3HM002839,5/20/2020 6:26,116.471246,39.866809,26.3,79003.5,85
LVCB4L4D3HM002839,5/20/2020 6:27,116.471266,39.867667,20.7,79003.5,85
LVCB4L4D3HM002839,5/20/2020 6:27,116.471276,39.868752,40.4,79003.7,85
LVCB4L4D3HM002839,5/20/2020 6:27,116.471297,39.869889,10.9,79003.8,85
LVCB4L4D3HM002839,5/20/2020 6:27,116.472541,39.869907,31,79004,85
LVCB4L4D3HM002839,5/20/2020 6:28,116.473332,39.869884,0,79004,85
LVCB4L4D3HM002839,5/20/2020 6:28,116.473581,39.869866,26.6,79004,85
LVCB4L4D3HM002839,5/20/2020 6:28,116.474979,39.869861,21.9,79004.1,85
LVCB4L4D3HM002839,5/20/2020 6:28,116.475309,39.869841,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:29,116.475309,39.869841,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:29,116.475309,39.869841,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:29,116.475309,39.869841,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:29,116.475309,39.869841,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:30,116.475309,39.869841,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:30,116.475309,39.869841,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:30,116.475309,39.869841,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:30,116.475309,39.869841,13.1,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:31,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:31,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:31,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:31,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:32,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:32,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:32,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:32,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:33,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:33,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:33,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:33,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:34,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:34,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:34,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:34,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:35,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:35,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:35,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:35,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:36,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:36,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:36,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:36,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:37,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:37,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:37,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:37,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:38,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:38,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:38,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:38,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:39,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:39,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:39,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:39,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:40,116.475566,39.869842,0,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:40,116.475736,39.869792,9,79004.2,85
LVCB4L4D3HM002839,5/20/2020 6:40,116.475802,39.868934,34.3,79004.3,84
LVCB4L4D3HM002839,5/20/2020 6:40,116.475802,39.867861,12.8,79004.5,84
LVCB4L4D3HM002839,5/20/2020 6:41,116.475807,39.867654,21.8,79004.5,84
LVCB4L4D3HM002839,5/20/2020 6:41,116.475806,39.866754,22.1,79004.5,84
LVCB4L4D3HM002839,5/20/2020 6:41,116.475496,39.866505,26.8,79004.6,84
LVCB4L4D3HM002839,5/20/2020 6:41,116.474127,39.866496,33.3,79004.7,84
LVCB4L4D3HM002839,5/20/2020 6:42,116.472442,39.866516,39.1,79005,84
LVCB4L4D3HM002839,5/20/2020 6:42,116.471482,39.866546,0,79005,84
LVCB4L4D3HM002839,5/20/2020 6:42,116.471466,39.86655,0,79005,84
LVCB4L4D3HM002839,5/20/2020 6:42,116.471466,39.86655,0,79005,84
LVCB4L4D3HM002839,5/20/2020 6:43,116.470854,39.866553,41.5,79005,84
LVCB4L4D3HM002839,5/20/2020 6:43,116.469932,39.866571,0,79005.1,84
LVCB4L4D3HM002839,5/20/2020 6:43,116.469371,39.866558,36.1,79005.1,84
LVCB4L4D3HM002839,5/20/2020 6:43,116.467792,39.866566,36.2,79005.3,84
LVCB4L4D3HM002839,5/20/2020 6:44,116.466071,39.866623,31.4,79005.5,84
LVCB4L4D3HM002839,5/20/2020 6:44,116.465601,39.866635,2.3,79005.5,84
LVCB4L4D3HM002839,5/20/2020 6:44,116.464536,39.866615,40.8,79005.6,83
LVCB4L4D3HM002839,5/20/2020 6:44,116.462813,39.866653,28.4,79005.7,83
LVCB4L4D3HM002839,5/20/2020 6:45,116.462235,39.866645,24.2,79005.8,83
LVCB4L4D3HM002839,5/20/2020 6:45,116.461781,39.866656,14.1,79005.8,83
LVCB4L4D3HM002839,5/20/2020 6:45,116.461645,39.867337,33.2,79006,83
LVCB4L4D3HM002839,5/20/2020 6:45,116.461628,39.868391,30.9,79006,83
LVCB4L4D3HM002839,5/20/2020 6:46,116.461711,39.868742,6.2,79006.1,83
LVCB4L4D3HM002839,5/20/2020 6:46,116.461618,39.868984,0,79006.1,83
